Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
500743,"The Wizard Heir (The Heir Chronicles, #2)",Cinda Williams Chima,"Chima, Cinda Williams",,"=""1423104870""","=""9781423104872""",0,"Little, Brown Books for Young Readers",Hardcover,458,2008,2007,,2014/07/17,to-read,to-read (#32),to-read,,,,0,0
113436,Eragon (The Inheritance Cycle #1),Christopher Paolini,"Paolini, Christopher",,"=""0375826696""","=""9780375826696""",0,Alfred A. Knopf,Paperback,503,2005,2002,,2014/07/17,to-read,to-read (#31),to-read,,,,0,0
13326831,"The Testing (The Testing, #1)",Joelle Charbonneau,"Charbonneau, Joelle","Amélie Sarn, Amélie Hesnard","=""0547959109""","=""9780547959108""",0,Houghton Mifflin,Hardcover,325,2013,2013,,2014/07/17,to-read,to-read (#30),to-read,,,,0,0
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.","Francis Ledoux, Maria Skibniewska","=""0618346252""","=""9780618346257""",4,Houghton Mifflin Harcourt,Paperback,398,2003,1954,2014/07/16,2014/05/24,,,read,,,,1,0
3467088,The Power Of Less: The Fine Art of Limiting Yourself to the Essential,Leo Babauta,"Babauta, Leo",,"=""1401309704""","=""9781401309701""",0,Balance,Hardcover,170,2009,2008,,2014/07/16,to-read,to-read (#29),to-read,,,,0,0
2222653,"Cry, Freedom: A Story of Friendship",John Briley,"Briley, John",,"=""0140108912""","=""9780140108910""",0,Penguin Books Ltd,Hardcover,272,1987,1987,,2014/06/23,to-read,to-read (#28),to-read,,,,0,0
52522,Rock This!,Chris Rock,"Rock, Chris",,"=""0786885602""","=""9780786885602""",0,Grand Central Publishing,Paperback,256,2000,1997,,2014/06/18,to-read,to-read (#27),to-read,,,,0,0
13058637,Subliminal: How Your Unconscious Mind Rules Your Behavior,Leonard Mlodinow,"Mlodinow, Leonard",,"=""0307378217""","=""9780307378217""",3,Pantheon,Hardcover,260,2012,2012,2014/04/24,2014/02/22,,,read,,,,1,0
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Strayed, Cheryl",,"=""0307592731""","=""9780307592736""",4,Knopf,Hardcover,336,2012,2012,2014/03/25,2014/02/22,,,read,,,,1,0
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""0140280197""","=""9780140280197""",3,Penguin Books,Paperback,452,2000,1999,2014/04/02,2014/03/06,,,read,,,,1,0
1768603,The White Tiger,Aravind Adiga,"Adiga, Aravind",,"=""1416562591""","=""9781416562597""",2,Free Press,Hardcover,288,2008,2008,2014/03/23,2014/03/10,,,read,,,,1,0
